"Subject","Day","Rep","Treat","Control_batch","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"Sub1","d0","A","Ctl-S",1,0.144931253611939,0.036343397283504,0,0.0140808367731434,0.0175855872524401,0.00748311866363355,0.0096625698784068,0.0034287367568579,0,0,0.00220372047801356,0.016452626443417,0,0.0693365834187225
"Sub1","d0","B","Ctl-S",1,0.166887939329803,0.0417630336161363,0,0.0152306562283924,0.0198132038288317,0.00753821339593775,0.00884922732361605,0,0,0.00052554125290585,0.00082011444909582,0.0109551500295734,0,0.0683304045587825
"Sub1","d0","C","Ctl-S",1,0.158446879822167,0.0435466437787201,0,0.0136033564056584,0.0165865669637737,0.0066405527262797,0.00938134169049215,0.00193141195359796,0,0.00096265407928577,0,0.0186918226983716,0,0.0773783224505275
"Sub1","d1","A","Ctl-S",1,0.0405542548540507,0.0212771419422615,0,0.0086147424955549,0.0105825951870222,0.0064652618230507,0.0120343319635799,0,0,0,0,0.0111737028211085,0,0.0182413488290144
"Sub1","d1","B","Ctl-S",1,0.0403878153627421,0.0170836020993508,0,0.00998595369204235,0.00996022303915765,0.0068645155657342,0.0112371129095937,0,0,0.0005470893052135,0,0.009238419629442,0,0.0169587065719254
"Sub1","d1","C","Ctl-S",1,0.0402259771355308,0.0167146117898278,0,0.0084095491072748,0.0093573442823336,0.0056436878454689,0.0113613379469626,0.0020433412478469,0,0,0,0.00932457964580995,0,0.0154644118360818
"Sub1","d2","A","Ctl-S",1,0.0440362555098662,0.0205484408479073,0,0.00879658611386245,0.0111460145417082,0.0072470087903178,0.0128072086496867,0.00204752233852371,0,0,0.00052672533887258,0.0129963906861203,0,0.0195887410754184
"Sub1","d2","B","Ctl-S",1,0.0405506503492804,0.020406763555688,0,0.0076520159734137,0.0126230645408388,0.00765030511216605,0.0118242932692575,0,0,0,0,0.0121408562822423,0,0.017719755865261
"Sub1","d2","C","Ctl-S",1,0.042886851732093,0.0198545002147009,0,0.0077604503645704,0.0097641990652284,0.0071721841057263,0.0140359519303798,0.00183343233810368,0,0,0,0.0100734246782574,0,0.0186068394216887
"Sub1","d3","A","Ctl-S",1,0.0377197638697871,0.017216630634294,0,0.00914523505763095,0.00927617108372205,0.00513736850467405,0.0116107234213748,0.000428857759102936,0,0.000707925147915775,0,0.0118084799021525,0,0.0172180502129798
"Sub1","d3","B","Ctl-S",1,0.050278682364773,0.0099596910237516,0,0.0107610120206267,0.0136262618383056,0.00658716269980805,0.0117242575774189,0,0,0,0,0.0088216795927936,0,0.0184943457014882
"Sub1","d3","C","Ctl-S",1,0.0412163939322773,0.0194866824588313,0,0.0100587903642909,0.0101006374870713,0.00847266150720725,0.0100140976731806,0.0017581355184896,0,0.000586010964684415,0,0.00428165097808238,0,0.0143700596199786
"Sub2","d0","A","Ctl-S",1,0.0354723852785866,0.0318375064481364,0,0.00473771264680457,0.0056091288213795,0.00485791170907178,0.0117090703118074,0,0,0.00135786597249215,0,0.0131675518745348,0,0.082602458966532
"Sub2","d0","B","Ctl-S",1,0.0409861946657356,0.0301709962670329,0,0.00549176286555155,0.00636488647707085,0.00509711479673115,0.00973785392844955,0,0,0.000419941420520978,0,0.0106577929823498,0,0.072609837077537
"Sub2","d0","C","Ctl-S",1,0.0336427488538022,0.025670877930958,0,0.00385375308392947,0.00429806004765467,0.00411597944256241,0.0139078220646027,0,0,0,0,0.0119512726424064,0,0.0791072070654455
"Sub2","d1","A","Ctl-S",1,0.0289288830039144,0.0197299054451405,0,0.00199891087734578,0.00213314138765081,0.0032195869830752,0.015348189819064,0,0,0,0,0.0059282014697937,0,0.0182222198489855
