"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d0","NoSub","ctl-m","A",9.3234137143861e-06,0,0,0,0,3.9453859372602e-06,0,0,0,0,0,5.48450992197675e-06,0,0
"d0","NoSub","ctl-m","B",3.09498802771514e-05,0,0,0,0,1.91247005306413e-06,0,0,0,0,0,0.000120880725077379,0,0
"d0","NoSub","ctl-m","C",2.74949742227322e-05,0,0,0,0,3.10210696876856e-06,0,0,0,0,0,3.42803442459337e-05,0,3.1690980600255e-06
"d1","NoSub","ctl-m","A",3.94332293898422e-05,0,0,0,0,0,0,0,0,0,0,5.4689300800348e-06,0,0
"d1","NoSub","ctl-m","B",2.53539361999592e-05,0,0,0,0,2.01498684355573e-06,9.50883690795955e-07,0,0,0,0,2.91421172223177e-05,0,4.44814429242176e-06
"d1","NoSub","ctl-m","C",4.07053262705548e-05,0,0,0,0,0,0,0,0,0,0,3.63962641494164e-06,0,0
"d2","NoSub","ctl-m","A",5.65983024186825e-05,0,0,0,0,0,0,0,0,0,0,6.58170151232505e-06,0,5.36789755978015e-06
"d2","NoSub","ctl-m","B",6.3866126571658e-05,0,0,0,0,0,0,0,0,0,0,7.79233959572305e-06,0,1.24110972566794e-05
"d2","NoSub","ctl-m","C",3.43161476807112e-05,0,0,0,0,0,0,0,0,0,0,0.0001261553229343,0,1.01921378455447e-05
"d3","NoSub","ctl-m","A",7.81247773808345e-05,0,0,0,0,0,0,0,0,0,0,2.61104119391765e-05,0,0.000451720757767701
"d3","NoSub","ctl-m","B",5.27135937687475e-05,0,0,0,0,0,0,0,0,0,0,4.99612808986995e-06,0,6.4168340414922e-06
"d3","NoSub","ctl-m","C",6.95923142575545e-05,0,0,0,0,0,0,0,0,0,0,4.01758055214674e-06,0,4.95340460683226e-06
"d0","NoSub","ctl-f","A",0.00377823796705766,0.00123204203746302,0.00150483179536246,0,0,4.32531370613326e-06,1.9776639001817e-06,0,0,0,0,0.000256185591624158,0,2.99844753456038e-05
"d0","NoSub","ctl-f","B",0.0036329716698507,0.00127783306025478,0.00146578204338103,0,0,5.91618227067515e-06,2.19975940830134e-06,0,0,0,0,0.000241555592020366,0,2.66588848757771e-05
"d0","NoSub","ctl-f","C",0.00559977340766745,0.00117174977266661,0.00148067402842204,0,0,3.55406924234615e-06,2.6311593351589e-06,0,0,0,0,0.000185821426403766,0,0.000135278874057166
"d1","NoSub","ctl-f","A",0.00272931972010427,0.00102957330015954,0.00088058256867133,0,0,0,7.07700698830585e-06,0,0,0,0,0.000215946752870671,0,2.98299565811925e-05
"d1","NoSub","ctl-f","B",0.00347474267332482,0.00149514525007691,0.00151056290060104,0,0,0,5.39394500459075e-06,0,0,0,0,0.000252262457806911,0,3.45446626072607e-05
"d1","NoSub","ctl-f","C",0.0055576351189754,0.00156342885297889,0.00142040578427695,0,0,0,2.68374599344338e-06,0,0,0,0,0.000178149976342514,0,5.3356109797591e-05
"d2","NoSub","ctl-f","A",0.0060618199059855,0.0019533164701226,0.00209199738608886,0,0,0,0,0,0,0,0,0.00033160780580393,0,4.87960002086279e-05
"d2","NoSub","ctl-f","B",0.0052624958352253,0.00205865544288553,0.00230504753399085,0,0,0,0,0,0,0,0,0.000401878753055562,0,5.0836525063642e-05
"d2","NoSub","ctl-f","C",0.00473377771500436,0.000928826560814365,0.000583581679762425,0,0,0,0,0,0,0,0,0.000110726115818919,0,5.2080437676333e-05
"d3","NoSub","ctl-f","A",0.0115621869180769,0.0015536995705441,0.00151819906755291,0,0,0,0,0,0,0,0,0.000255988085629833,0,0.000119552875202409
"d3","NoSub","ctl-f","B",0.00339339523116025,0.00122251838229683,0.0011439606030554,0,0,0,0,0,0,0,0,0.000225537128316088,0,4.51303823405225e-05
"d3","NoSub","ctl-f","C",0.022860498762906,0.00180499803518255,0.00172720823835233,0,0,0,0,0,0,0,0,0.000280878140466859,0,0.000120932896239142
"d0","Sub1","MSPrebio","A",0.203541234502137,0.0172300174484369,0.0144000271060045,0.00396385377123613,0.006522098692952,0.00202841733562811,0.000711817781153675,0,0.0086088954049426,0.0062858089444735,0,0.00108881544737807,0,0.0549823002729825
"d0","Sub1","MSPrebio","B",0.230087539455575,0.0180958644905953,0.0129231464230939,0.00357259275959686,0.00666969116278255,0.00210784994390736,0.00063009371482274,0,0.0079197397591362,0.0067805646813341,0,0.000993680330866025,0,0.050415306479907
"d0","Sub1","MSPrebio","C",0.150701734542606,0.0202707616702362,0.0115903981776319,0.00385118659599538,0.0060857436666445,0.00194137969263463,0.000719106051630375,0,0.0083028348975125,0.00720706775904375,0,0.00115354508232022,0,0.0616705219086665
"d1","Sub1","MSPrebio","A",1.0802760753348,0.00434075742893232,0.0070472752184877,0.0034632809017781,0.00220971029399891,0.0010669858413005,0.00062533022808889,0,0.000322142578265797,0.000735845136105875,0,0.000555842751437265,0,0.0167799435388665
"d1","Sub1","MSPrebio","B",1.11730283876727,0,0.00821592207765485,0.00355082697142798,0.00278999712371317,0.00146081271996242,0.00060962647712097,0,0.00036890967674827,0.00074829080253854,0,0.000702577669783725,0,0.0216119125528422
"d1","Sub1","MSPrebio","C",1.05987201200555,0.00540932085027905,0.00571382452692015,0.0033650713010511,0.00248773651972858,0.00126637170600364,0.00058693851954687,0,0.00030085043233173,0.00088409197419148,0,0.000473762984380581,0,0.0210525135731048
"d2","Sub1","MSPrebio","A",1.92774492000445,0,0.0137316607317629,0.00404684851224206,0.00410447683464935,0.00184288082091824,0.00090842000846222,0,0.000499766576592511,0.00119844677960945,0,0.0008396708644723,0,0.027849261666137
"d2","Sub1","MSPrebio","B",2.02333973401556,0,0.0133655053845933,0.00437032030170941,0.00412985129163022,0.00208483856524802,0.000817964971644335,0,0.000468535364185993,0.00174396910662169,0,0.00099055125811227,0,0.030024010099372
"d2","Sub1","MSPrebio","C",1.92541290947098,0,0.0108365050276047,0.00417747253170354,0.00414159157595268,0.00220395063196703,0.00083622083920456,0,0.00045506013123902,0.00191280106721828,0,0.00079963795757444,0,0.0345291729690568
"d3","Sub1","MSPrebio","A",2.45649880480264,0,0.01397315775591,0.00420934188265777,0,0.00146170601676348,0.00065190369964179,0,0.000384178855687352,0.00122235165418659,0,0.00076917702670533,0,0.0233537875539831
"d3","Sub1","MSPrebio","B",2.92615478635927,0,0.0179610438853753,0.00481762560592238,0,0.00194289935065429,0.000800567732739,0,0.00050849992685608,0.00216431964225841,0,0.00113711793639543,0,0.0315339176576921
"d3","Sub1","MSPrebio","C",2.06817788237156,0,0.0105370287795266,0.00423117277489176,0,0.00170528405238759,0.00066419320060943,0,0.000338382768635788,0.00185689506738685,0,0.000806291909388765,0,0.0287846010732089
"d0","Sub2","MSPrebio","A",0.463801418981546,0,0.00375891753984567,0.000821208458007175,0.00132366292587866,0.00117986237115358,0.000192049952595533,0,0.00072050663592742,0.00340875507106171,0,0.0006770108697047,0,0.042095259439898
"d0","Sub2","MSPrebio","B",0.356139203379129,0,0.00288259043209903,0.00089689382474985,0.00124488525614224,0.00119495701928101,0.000196807525552885,0,0.00061544581882459,0.00322929163676144,0,0.00065468620425883,0,0.0413830507451458
"d0","Sub2","MSPrebio","C",0.325908293435476,0,0.00354636779571247,0.000873068599583565,0.0013608047031129,0.0012048503323951,0.000200041325058463,0,0.00056345243701,0.00310850938959523,0,0.000606088098034535,0,0.041531620682213
"d1","Sub2","MSPrebio","A",0.0100156286701663,0,0.00106629796626865,0,0,0,8.65076088637505e-05,0,3.46973909830324e-05,0.000202294562157775,0,2.94984347789685e-05,0,0.00919991570032445
"d1","Sub2","MSPrebio","B",0.0106863871990574,0,0.00119710252003482,0,0,0,7.3131584135621e-05,0,3.1206750753546e-05,0,0,4.7702833998536e-05,0,0.00879290384486165
"d1","Sub2","MSPrebio","C",0.0112367345655591,0,0.00135309605708155,0,0,0,7.09223656570755e-05,0,4.79085702284072e-05,0,0,2.1788407877849e-05,0,0.0099011466066146
"d2","Sub2","MSPrebio","A",0.0433065448624008,0,0.00321979934482549,0,0,9.54384977173985e-05,0.000219655909732485,0,5.03426383021415e-05,0,0,6.6873191279824e-05,0,0.0130228846433185
"d2","Sub2","MSPrebio","B",0.0338944810947737,0,0.00225589190058983,0,0,8.97710095278645e-05,0.000172576027364879,0,6.1252262761626e-05,0.00151781125657938,0,7.99137580572835e-05,0,0.010570616245007
"d2","Sub2","MSPrebio","C",0.0385005647996869,0,0.00143338543236479,0,0,7.9648013240016e-05,0.000132325877269024,0,4.12428703175498e-05,0.00086690473123968,0,3.21540341894779e-05,0,0.00767402808039015
"d3","Sub2","MSPrebio","A",0.0106567624683765,0,0.00133925398082059,8.7254624848743e-05,0,8.3895564672061e-05,0.000391944291581123,0,0.000100280310276634,0,0,1.60118106699023e-05,0,0.00432887200519803
"d3","Sub2","MSPrebio","B",0.0072697331884438,0,0.00162552284734196,9.63213696293805e-05,0,0.000100418814317339,0.00026806978912728,0,0.000121623483736876,0,0,2.56843809808141e-05,0,0.00462034924783208
"d3","Sub2","MSPrebio","C",0.0107726492296162,0,0.00153113453036679,7.3737295637753e-05,0.000369576341535161,0.000105726670140264,0.000325422812267221,0,6.84892966841625e-05,0,0,1.31306476561207e-05,0,0.00329623376897163
"d0","Sub3","MSPrebio","A",0.993276460803385,0,0.00536405691881485,0.00084837136390587,0.00144467032104244,0.00127712029730018,0.000165379946027195,0,0.00181906860147963,0.00455483409500063,0,0.000649365384057855,0,0.029616801110926
