"Subject","Rep","Day","pH","Treat","subj_rep"
"Media only","A","d0",7.13,"Banana","Media onlyA"
"Media only","A","d1",6.75,"Banana","Media onlyA"
"Media only","A","d2",7.14,"Banana","Media onlyA"
"Media only","A","d3",7.18,"Banana","Media onlyA"
"Media only","B","d0",7.06,"Banana","Media onlyB"
"Media only","B","d1",6.73,"Banana","Media onlyB"
"Media only","B","d2",7.17,"Banana","Media onlyB"
"Media only","B","d3",7.16,"Banana","Media onlyB"
"Media only","C","d0",7.06,"Banana","Media onlyC"
"Media only","C","d1",6.73,"Banana","Media onlyC"
"Media only","C","d2",7.19,"Banana","Media onlyC"
"Media only","C","d3",7.15,"Banana","Media onlyC"
"Media & fiber","A","d0",6.99,"Banana","Media & fiberA"
"Media & fiber","A","d1",6.63,"Banana","Media & fiberA"
"Media & fiber","A","d2",7.05,"Banana","Media & fiberA"
"Media & fiber","A","d3",7.04,"Banana","Media & fiberA"
"Media & fiber","B","d0",6.96,"Banana","Media & fiberB"
"Media & fiber","B","d1",6.59,"Banana","Media & fiberB"
"Media & fiber","B","d2",7.03,"Banana","Media & fiberB"
"Media & fiber","B","d3",7.01,"Banana","Media & fiberB"
"Media & fiber","C","d0",6.96,"Banana","Media & fiberC"
"Media & fiber","C","d1",6.6,"Banana","Media & fiberC"
"Media & fiber","C","d2",7.04,"Banana","Media & fiberC"
"Media & fiber","C","d3",6.99,"Banana","Media & fiberC"
"Sub1","A","d0",6.96,"Banana","Sub1A"
"Sub1","A","d1",5.64,"Banana","Sub1A"
"Sub1","A","d2",5.84,"Banana","Sub1A"
"Sub1","A","d3",5.44,"Banana","Sub1A"
"Sub1","B","d0",6.94,"Banana","Sub1B"
"Sub1","B","d1",5.49,"Banana","Sub1B"
"Sub1","B","d2",5.63,"Banana","Sub1B"
"Sub1","B","d3",5.28,"Banana","Sub1B"
"Sub1","C","d0",6.93,"Banana","Sub1C"
"Sub1","C","d1",5.62,"Banana","Sub1C"
"Sub1","C","d2",5.65,"Banana","Sub1C"
"Sub1","C","d3",5.4,"Banana","Sub1C"
"Sub2","A","d0",6.95,"Banana","Sub2A"
"Sub2","A","d1",5.47,"Banana","Sub2A"
"Sub2","A","d2",5.92,"Banana","Sub2A"
"Sub2","A","d3",5.92,"Banana","Sub2A"
"Sub2","B","d0",6.94,"Banana","Sub2B"
"Sub2","B","d1",5.46,"Banana","Sub2B"
"Sub2","B","d2",5.83,"Banana","Sub2B"
"Sub2","B","d3",5.83,"Banana","Sub2B"
"Sub2","C","d0",6.94,"Banana","Sub2C"
"Sub2","C","d1",5.45,"Banana","Sub2C"
"Sub2","C","d2",5.87,"Banana","Sub2C"
"Sub2","C","d3",5.87,"Banana","Sub2C"
"Sub3","A","d0",6.94,"Banana","Sub3A"
"Sub3","A","d1",5.38,"Banana","Sub3A"
"Sub3","A","d2",5.83,"Banana","Sub3A"
"Sub3","A","d3",5.84,"Banana","Sub3A"
"Sub3","B","d0",6.94,"Banana","Sub3B"
"Sub3","B","d1",5.63,"Banana","Sub3B"
"Sub3","B","d2",5.71,"Banana","Sub3B"
"Sub3","B","d3",5.45,"Banana","Sub3B"
"Sub3","C","d0",6.92,"Banana","Sub3C"
"Sub3","C","d1",5.41,"Banana","Sub3C"
"Sub3","C","d2",5.68,"Banana","Sub3C"
"Sub3","C","d3",5.71,"Banana","Sub3C"
"Sub4","A","d0",6.96,"Banana","Sub4A"
"Sub4","A","d1",5.11,"Banana","Sub4A"
"Sub4","A","d2",5.58,"Banana","Sub4A"
"Sub4","A","d3",5.52,"Banana","Sub4A"
"Sub4","B","d0",6.94,"Banana","Sub4B"
"Sub4","B","d1",5.29,"Banana","Sub4B"
"Sub4","B","d2",5.68,"Banana","Sub4B"
"Sub4","B","d3",5.61,"Banana","Sub4B"
"Sub4","C","d0",6.91,"Banana","Sub4C"
"Sub4","C","d1",5.18,"Banana","Sub4C"
"Sub4","C","d2",5.64,"Banana","Sub4C"
"Sub4","C","d3",5.57,"Banana","Sub4C"
"Sub5","A","d0",6.98,"Banana","Sub5A"
"Sub5","A","d1",4.87,"Banana","Sub5A"
"Sub5","A","d2",5.02,"Banana","Sub5A"
"Sub5","A","d3",4.97,"Banana","Sub5A"
"Sub5","B","d0",6.97,"Banana","Sub5B"
"Sub5","B","d1",5.2,"Banana","Sub5B"
"Sub5","B","d2",5.18,"Banana","Sub5B"
"Sub5","B","d3",5.14,"Banana","Sub5B"
"Sub5","C","d0",6.96,"Banana","Sub5C"
"Sub5","C","d1",5.47,"Banana","Sub5C"
"Sub5","C","d2",5.51,"Banana","Sub5C"
"Sub5","C","d3",5.01,"Banana","Sub5C"
"Media only","A","d0",7.11,"13Bean","Media onlyA"
"Media only","A","d1",7.22,"13Bean","Media onlyA"
"Media only","A","d2",7.29,"13Bean","Media onlyA"
"Media only","A","d3",7.39,"13Bean","Media onlyA"
"Media only","B","d0",7.05,"13Bean","Media onlyB"
"Media only","B","d1",7.16,"13Bean","Media onlyB"
"Media only","B","d2",7.27,"13Bean","Media onlyB"
"Media only","B","d3",7.36,"13Bean","Media onlyB"
"Media only","C","d0",7.03,"13Bean","Media onlyC"
"Media only","C","d1",7.15,"13Bean","Media onlyC"
"Media only","C","d2",7.26,"13Bean","Media onlyC"
"Media only","C","d3",7.34,"13Bean","Media onlyC"
"Media & fiber","A","d0",6.88,"13Bean","Media & fiberA"
"Media & fiber","A","d1",6.95,"13Bean","Media & fiberA"
"Media & fiber","A","d2",7.09,"13Bean","Media & fiberA"
"Media & fiber","A","d3",7.14,"13Bean","Media & fiberA"
"Media & fiber","B","d0",6.85,"13Bean","Media & fiberB"
"Media & fiber","B","d1",6.93,"13Bean","Media & fiberB"
"Media & fiber","B","d2",7.07,"13Bean","Media & fiberB"
"Media & fiber","B","d3",7.12,"13Bean","Media & fiberB"
"Media & fiber","C","d0",6.85,"13Bean","Media & fiberC"
"Media & fiber","C","d1",6.91,"13Bean","Media & fiberC"
"Media & fiber","C","d2",7.05,"13Bean","Media & fiberC"
"Media & fiber","C","d3",7.11,"13Bean","Media & fiberC"
"Sub1","A","d0",6.77,"13Bean","Sub1A"
"Sub1","A","d1",5.9,"13Bean","Sub1A"
"Sub1","A","d2",6.03,"13Bean","Sub1A"
"Sub1","A","d3",6.06,"13Bean","Sub1A"
"Sub1","B","d0",6.79,"13Bean","Sub1B"
"Sub1","B","d1",5.92,"13Bean","Sub1B"
"Sub1","B","d2",6.06,"13Bean","Sub1B"
"Sub1","B","d3",6.11,"13Bean","Sub1B"
"Sub1","C","d0",6.79,"13Bean","Sub1C"
"Sub1","C","d1",5.88,"13Bean","Sub1C"
"Sub1","C","d2",6.03,"13Bean","Sub1C"
"Sub1","C","d3",6.08,"13Bean","Sub1C"
"Sub2","A","d0",6.89,"13Bean","Sub2A"
"Sub2","A","d1",5.42,"13Bean","Sub2A"
"Sub2","A","d2",5.71,"13Bean","Sub2A"
"Sub2","A","d3",5.85,"13Bean","Sub2A"
"Sub2","B","d0",6.84,"13Bean","Sub2B"
"Sub2","B","d1",5.39,"13Bean","Sub2B"
"Sub2","B","d2",5.63,"13Bean","Sub2B"
"Sub2","B","d3",5.72,"13Bean","Sub2B"
