"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d0","NoSub","ctl-m","A",0.00368407021113377,0.00527699242645285,0,0,0,0.00207637646346435,0,0,0,0,0,0.0013106968634238,0,0.00433645830133394
"d0","NoSub","ctl-m","B",0.007158622804078,0.00383891117678189,0,0,0,0.00153675539479006,0,0,0,0,0,0.00121040601751795,0,0.00320212367827385
"d0","NoSub","ctl-m","C",0.00194973412211835,0.00419541776671415,0,0,0,0.00195639270168591,0,0,0,0,0,0,0,0.00330895239352574
"d1","NoSub","ctl-m","A",0.00207256206045373,0.00297361285368678,0,0,0,0.00159349521384494,0,0,0,0,0,0.0014784675339751,0,0.00300360561537636
"d1","NoSub","ctl-m","B",0.00185305857329419,0.0055475375431337,0,0,0,0.00162486245960576,0,0,0,0,0,0.00145628109518827,0,0.00342847128332292
"d1","NoSub","ctl-m","C",0.00336390580244355,0.0059980921831927,0,0,0,0.00204182624432521,0,0,0,0,0,0.000986759510301005,0,0.00243212631713276
"d2","NoSub","ctl-m","A",0.0105645436070845,0.00918792818582075,0,0,0,0.00201489723403831,0.000216013383956305,0,0,0,0,0.00064390895270551,0,0.00339633524626167
"d2","NoSub","ctl-m","B",0.0143990090858753,0.00892369171285735,0,0,0,0.00180404954867826,0.000226378569938712,0,0,0,0,0.00131192463664687,0,0.00364569047771011
"d2","NoSub","ctl-m","C",0.00223371049710082,0.00467792518515989,0,0,0,0.00143558527410127,0,0,0,0,0,0.000996628211421555,0,0.00303879598720777
"d3","NoSub","ctl-m","A",0.0142101412438713,0,0,0,0.000173348185245701,0.0162422985983638,0,0,0,0,0,0.030635279299451,0,0.0175254614582778
"d3","NoSub","ctl-m","B",0.0084908978526367,0,0,0,0,0.00195500930306927,0,0,0,0,0,0.000763400904666185,0,0.0037972245327217
"d3","NoSub","ctl-m","C",0.0094315550595932,0,0,0,0,0.00164993156729274,0,0,0,0,0,0.000827324316730305,0,0.00316953171225879
"d0","NoSub","MSPrebio","A",16.8104598063068,0,0.0480525239055079,0,0,0.00381326204020774,0,0,0,0,0,0.00403095373044438,0,0.024529768379236
"d0","NoSub","MSPrebio","B",20.0392071485092,0,0.061132692791784,0,0.00603743608696205,0.00354561541727968,0,0,0,0,0,0.00393585224802626,0,0.0302681178953789
"d0","NoSub","MSPrebio","C",10.8707998796092,0,0.0367644915262866,0.000803235449463235,0.00277970090899325,0.00278747877664207,0,0,0,0,0,0.00440372152049455,0,0.027241897748733
"d1","NoSub","MSPrebio","A",9.1354755081939,0,0.0219656407512042,0,0,0.00299142986189305,0,0,0,0,0,0.00460896714570724,0,0.0278982435774772
"d1","NoSub","MSPrebio","B",18.1748186202512,0,0.0494909687436718,0,0,0.00303841394627,0,0,0,0,0,0.00254038946902594,0,0.0270759235953443
"d1","NoSub","MSPrebio","C",10.1508109934072,0,0.0272133410677215,0,0,0.00114975585874123,0,0,0,0,0,0.00456955997429759,0,0.0257731829684024
"d2","NoSub","MSPrebio","A",6.31759412647355,0,0.0235857134280888,0,0,0.00307702313558747,0.0008156693498344,0,0,0,0,0.00376532445226506,0,0.0231746406679043
"d2","NoSub","MSPrebio","B",7.94648824889485,0,0.426844900260128,0,0,0.00314719971843185,0.000550639675095905,0,0,0,0,0.00690240564244365,0,0.0287560627546302
"d2","NoSub","MSPrebio","C",9.25992560680605,0,0.0350123016668217,0,0,0.00335483418153193,0.00122156687353007,0,0,0,0,0.00465588570697046,0,0.033559905337045
